Baby,Time,Amount (oz.),Note
Yalkun,"8/29/23, 9:30 AM",1
Yalkun,"8/29/23, 8:36 AM",2
Yalkun,"8/29/23, 6:35 AM",1
Yalkun,"8/29/23, 3:10 AM",2.9,Level 2 nipple
Yalkun,"8/28/23, 11:00 PM",1
Yalkun,"8/28/23, 9:15 PM",2.5
Yalkun,"8/28/23, 7:20 PM",0.8
Yalkun,"8/28/23, 6:14 PM",3.2
Yalkun,"8/28/23, 3:00 PM",1.3
Yalkun,"8/28/23, 1:01 PM",1.7
Yalkun,"8/28/23, 10:30 AM",3
Yalkun,"8/28/23, 8:30 AM",1
Yalkun,"8/28/23, 6:20 AM",2
Yalkun,"8/28/23, 3:10 AM",1.6
Yalkun,"8/27/23, 11:30 PM",0.6
Yalkun,"8/27/23, 10:05 PM",3
Yalkun,"8/27/23, 6:00 PM",2.5
Yalkun,"8/27/23, 4:15 PM",0.6
Yalkun,"8/27/23, 2:50 PM",3
Yalkun,"8/27/23, 11:36 AM",2
Yalkun,"8/27/23, 9:30 AM",2.5
Yalkun,"8/27/23, 7:43 AM",0.5
Yalkun,"8/27/23, 6:30 AM",1
Yalkun,"8/27/23, 3:32 AM",2.5
Yalkun,"8/26/23, 10:53 PM",1.7
Yalkun,"8/26/23, 8:43 PM",2.3
Yalkun,"8/26/23, 5:00 PM",1.5
Yalkun,"8/26/23, 4:02 PM",3
Yalkun,"8/26/23, 11:00 AM",2.5
Yalkun,"8/26/23, 9:00 AM",1.7
Yalkun,"8/26/23, 6:52 AM",1.1
Yalkun,"8/26/23, 3:30 AM",3
Yalkun,"8/25/23, 10:40 PM",2.8
Yalkun,"8/25/23, 7:00 PM",2.6
Yalkun,"8/25/23, 5:30 PM",3
Yalkun,"8/25/23, 12:15 PM",3
Yalkun,"8/25/23, 10:15 AM",3
Yalkun,"8/25/23, 7:15 AM",1.5
Yalkun,"8/25/23, 5:55 AM",0.7
Yalkun,"8/25/23, 3:10 AM",3
Yalkun,"8/24/23, 10:31 PM",3
Yalkun,"8/24/23, 7:20 PM",2
Yalkun,"8/24/23, 5:26 PM",1
Yalkun,"8/24/23, 4:14 PM",3
Yalkun,"8/24/23, 11:37 AM",1.5
Yalkun,"8/24/23, 9:50 AM",1
Yalkun,"8/24/23, 8:54 AM",2
Yalkun,"8/24/23, 5:55 AM",2
Yalkun,"8/23/23, 11:30 PM",3
Yalkun,"8/23/23, 7:45 PM",2.2
Yalkun,"8/23/23, 5:45 PM",1.8
Yalkun,"8/23/23, 4:43 PM",2.5
Yalkun,"8/23/23, 1:59 PM",3.6
Yalkun,"8/23/23, 9:33 AM",1.2
Yalkun,"8/23/23, 7:35 AM",1.6
Yalkun,"8/23/23, 5:50 AM",1.4
Yalkun,"8/23/23, 2:55 AM",3
Yalkun,"8/22/23, 11:18 PM",2
Yalkun,"8/22/23, 9:10 PM",0.6
Yalkun,"8/22/23, 7:37 PM",2.4
Yalkun,"8/22/23, 7:05 PM",0.4
Yalkun,"8/22/23, 5:40 PM",2.6
Yalkun,"8/22/23, 2:48 PM",1.4
Yalkun,"8/22/23, 12:09 PM",1
Yalkun,"8/22/23, 10:53 AM",1.6
Yalkun,"8/22/23, 9:00 AM",2.8
Yalkun,"8/22/23, 7:00 AM",1.8
Yalkun,"8/22/23, 4:20 AM",3.3
Yalkun,"8/21/23, 8:05 PM",1.1
Yalkun,"8/21/23, 5:40 PM",1.9
Yalkun,"8/21/23, 2:46 PM",2.7
Yalkun,"8/21/23, 11:20 AM",3
Yalkun,"8/21/23, 9:23 AM",2
Yalkun,"8/21/23, 5:45 AM",2.1
Yalkun,"8/21/23, 1:17 AM",3
Yalkun,"8/20/23, 8:33 PM",1.5
Yalkun,"8/20/23, 6:45 PM",3
Yalkun,"8/20/23, 4:25 PM",3
Yalkun,"8/20/23, 1:25 PM",2.6
Yalkun,"8/20/23, 10:50 AM",2
Yalkun,"8/20/23, 7:35 AM",2.8
Yalkun,"8/20/23, 3:50 AM",3.2
Yalkun,"8/19/23, 11:45 PM",2
Yalkun,"8/19/23, 8:55 PM",2.9
Yalkun,"8/19/23, 4:55 PM",3
Yalkun,"8/19/23, 1:00 PM",1.6
Yalkun,"8/19/23, 9:50 AM",1.4
Yalkun,"8/19/23, 8:20 AM",1
Yalkun,"8/19/23, 5:50 AM",2.5
Yalkun,"8/19/23, 12:38 AM",2.7
Yalkun,"8/18/23, 7:24 PM",2.1
Yalkun,"8/18/23, 4:16 PM",3
Yalkun,"8/18/23, 1:29 PM",2.1
Yalkun,"8/18/23, 11:02 AM",2.6
Yalkun,"8/18/23, 8:00 AM",3.6
Yalkun,"8/18/23, 5:00 AM",1.2
Yalkun,"8/18/23, 1:01 AM",3.3
Yalkun,"8/17/23, 7:55 PM",2.8
Yalkun,"8/17/23, 6:44 PM",0.4
Yalkun,"8/17/23, 4:26 PM",3.2
Yalkun,"8/17/23, 1:31 PM",1.5
Yalkun,"8/17/23, 11:20 AM",3.2
Yalkun,"8/17/23, 9:33 AM",2.6
Yalkun,"8/17/23, 5:30 AM",1.6
Yalkun,"8/17/23, 2:17 AM",3.3
Yalkun,"8/16/23, 9:40 PM",3.2
Yalkun,"8/16/23, 6:53 PM",0.9
Yalkun,"8/16/23, 4:30 PM",3
Yalkun,"8/16/23, 12:44 PM",3.5
Yalkun,"8/16/23, 9:12 AM",4
Yalkun,"8/16/23, 5:20 AM",2.2
Yalkun,"8/16/23, 2:10 AM",2.8
Yalkun,"8/15/23, 8:51 PM",1.5
Yalkun,"8/15/23, 7:12 PM",1
Yalkun,"8/15/23, 5:50 PM",2.5
Yalkun,"8/15/23, 2:39 PM",4
Yalkun,"8/15/23, 10:42 AM",3.2
Yalkun,"8/15/23, 8:10 AM",1.4
Yalkun,"8/15/23, 6:40 AM",2
Yalkun,"8/15/23, 2:40 AM",3
Yalkun,"8/14/23, 4:44 PM",2
Yalkun,"8/14/23, 3:20 PM",2.2
Yalkun,"8/14/23, 11:56 AM",2.2
Yalkun,"8/14/23, 8:45 AM",3.5
Yalkun,"8/14/23, 6:30 AM",1.5
Yalkun,"8/14/23, 3:40 AM",3.5
Yalkun,"8/13/23, 11:05 PM",2
Yalkun,"8/13/23, 7:40 PM",3.2
Yalkun,"8/13/23, 3:20 PM",2
Yalkun,"8/13/23, 1:15 PM",2.7
Yalkun,"8/13/23, 9:30 AM",3.5
Yalkun,"8/13/23, 6:30 AM",2
Yalkun,"8/13/23, 3:10 AM",2.7
Yalkun,"8/12/23, 10:24 PM",1.5
Yalkun,"8/12/23, 8:57 PM",1
Yalkun,"8/12/23, 6:15 PM",2.5
Yalkun,"8/12/23, 2:36 PM",2.6
Yalkun,"8/12/23, 11:17 AM",3
Yalkun,"8/12/23, 8:30 AM",2.4
Yalkun,"8/12/23, 5:30 AM",2.2
Yalkun,"8/11/23, 10:00 PM",2.8
Yalkun,"8/11/23, 5:20 PM",4.6
Yalkun,"8/11/23, 1:15 PM",3.5
Yalkun,"8/11/23, 10:36 AM",3.5
Yalkun,"8/11/23, 6:30 AM",0.9
Yalkun,"8/11/23, 5:00 AM",2.1
Yalkun,"8/10/23, 9:25 PM",1.3
Yalkun,"8/10/23, 6:00 PM",3
Yalkun,"8/10/23, 1:15 PM",2.5
Yalkun,"8/10/23, 10:15 AM",3
Yalkun,"8/10/23, 6:12 AM",3.5
Yalkun,"8/10/23, 2:35 AM",3.2
Yalkun,"8/9/23, 8:25 PM",3
Yalkun,"8/9/23, 4:10 PM",3
Yalkun,"8/9/23, 12:55 PM",3
Yalkun,"8/9/23, 9:34 AM",3
Yalkun,"8/9/23, 7:00 AM",2.1
Yalkun,"8/9/23, 2:49 AM",3
Yalkun,"8/8/23, 9:35 PM",2
Yalkun,"8/8/23, 7:00 PM",2.8
Yalkun,"8/8/23, 3:50 PM",3
Yalkun,"8/8/23, 11:32 AM",3
Yalkun,"8/8/23, 7:57 AM",3.1
Yalkun,"8/8/23, 4:00 AM",3.2
Yalkun,"8/8/23, 12:38 AM",3.2
Yalkun,"8/7/23, 7:00 PM",2.8
Yalkun,"8/7/23, 4:55 PM",2.9
Yalkun,"8/7/23, 3:40 PM",3
Yalkun,"8/7/23, 1:09 PM",3.2
Yalkun,"8/7/23, 10:07 AM",3
Yalkun,"8/7/23, 7:20 AM",3.2
Yalkun,"8/7/23, 2:45 AM",3.2
Yalkun,"8/6/23, 11:40 PM",3.2
Yalkun,"8/6/23, 5:06 PM",4
Yalkun,"8/6/23, 12:15 PM",3
Yalkun,"8/6/23, 8:50 AM",2.1
Yalkun,"8/6/23, 7:05 AM",2.9
Yalkun,"8/6/23, 3:10 AM",3
Yalkun,"8/5/23, 11:00 PM",3
Yalkun,"8/5/23, 8:18 PM",3
Yalkun,"8/5/23, 3:30 PM",3.6
Yalkun,"8/5/23, 11:40 AM",3
Yalkun,"8/5/23, 8:17 AM",2.8
Yalkun,"8/5/23, 5:47 AM",2.7
Yalkun,"8/4/23, 10:07 PM",3
Yalkun,"8/4/23, 6:55 PM",2.8
Yalkun,"8/4/23, 4:35 PM",0.6
Yalkun,"8/4/23, 4:03 PM",3
Yalkun,"8/4/23, 12:45 PM",3
Yalkun,"8/4/23, 10:13 AM",3
Yalkun,"8/4/23, 7:35 AM",2
Yalkun,"8/4/23, 3:05 AM",3
Yalkun,"8/4/23, 12:21 AM",3
Yalkun,"8/3/23, 9:15 PM",3
Yalkun,"8/3/23, 5:20 PM",3
Yalkun,"8/3/23, 1:33 PM",3.1
Yalkun,"8/3/23, 10:53 AM",3
Yalkun,"8/3/23, 7:42 AM",3
Yalkun,"8/3/23, 4:38 AM",3.1
Yalkun,"8/3/23, 1:28 AM",2.7
Yalkun,"8/2/23, 9:00 PM",3
Yalkun,"8/2/23, 5:29 PM",2.5
Yalkun,"8/2/23, 3:10 PM",3
Yalkun,"8/2/23, 11:15 AM",3
Yalkun,"8/2/23, 8:04 AM",2.8
Yalkun,"8/2/23, 4:30 AM",2.6
Yalkun,"8/1/23, 7:45 PM",2.8
Yalkun,"8/1/23, 5:14 PM",4.8
Yalkun,"8/1/23, 1:10 PM",3
Yalkun,"8/1/23, 10:00 AM",2.4
Yalkun,"8/1/23, 5:10 AM",2.1
Yalkun,"7/31/23, 11:06 PM",2.4
Yalkun,"7/31/23, 6:45 PM",3
Yalkun,"7/31/23, 3:58 PM",3.8
Yalkun,"7/31/23, 12:00 PM",2.8
Yalkun,"7/31/23, 10:00 AM",1
Yalkun,"7/31/23, 8:20 AM",3
Yalkun,"7/31/23, 4:50 AM",3
Yalkun,"7/30/23, 10:30 PM",2.8
Yalkun,"7/30/23, 7:15 PM",3.2
Yalkun,"7/30/23, 3:30 PM",2.6
Yalkun,"7/30/23, 12:29 PM",3.2
Yalkun,"7/30/23, 9:20 AM",3.2
Yalkun,"7/30/23, 6:15 AM",2.8
Yalkun,"7/30/23, 3:23 AM",3
Yalkun,"7/29/23, 10:20 PM",3
Yalkun,"7/29/23, 6:38 PM",2.6
Yalkun,"7/29/23, 4:40 PM",0.8
Yalkun,"7/29/23, 3:25 PM",3
Yalkun,"7/29/23, 12:15 PM",1
Yalkun,"7/29/23, 11:19 AM",2.8
Yalkun,"7/29/23, 5:00 AM",3.2
Yalkun,"7/28/23, 9:05 PM",3
Yalkun,"7/28/23, 3:34 PM",4
Yalkun,"7/28/23, 11:11 AM",2.8
Yalkun,"7/28/23, 8:24 AM",2.8
Yalkun,"7/28/23, 4:05 AM",3
Yalkun,"7/28/23, 1:05 AM",3
Yalkun,"7/27/23, 10:05 PM",3
Yalkun,"7/27/23, 5:40 PM",3
Yalkun,"7/27/23, 11:25 AM",2.5
Yalkun,"7/27/23, 7:53 AM",3
Yalkun,"7/27/23, 4:50 AM",3
Yalkun,"7/27/23, 1:39 AM",2.8
Yalkun,"7/26/23, 9:00 PM",2.8
Yalkun,"7/26/23, 6:10 PM",3
Yalkun,"7/26/23, 3:15 PM",3
Yalkun,"7/26/23, 12:14 PM",3
Yalkun,"7/26/23, 8:00 AM",3
Yalkun,"7/25/23, 11:05 PM",3
Yalkun,"7/25/23, 6:55 PM",3
Yalkun,"7/25/23, 3:20 PM",3
Yalkun,"7/25/23, 10:15 AM",2
Yalkun,"7/25/23, 6:55 AM",3
Yalkun,"7/25/23, 12:30 AM",3
Yalkun,"7/24/23, 6:55 PM",1.5
Yalkun,"7/24/23, 4:25 PM",2.5
Yalkun,"7/24/23, 1:05 PM",1.5
Yalkun,"7/24/23, 10:41 AM",2.5
Yalkun,"7/24/23, 7:55 AM",2.9
Yalkun,"7/24/23, 2:20 AM",3
Yalkun,"7/23/23, 10:00 PM",3
Yalkun,"7/23/23, 7:20 PM",2.5
Yalkun,"7/23/23, 4:25 PM",3.1
Yalkun,"7/23/23, 1:30 PM",3
Yalkun,"7/23/23, 10:00 AM",3
Yalkun,"7/23/23, 4:50 AM",2.7
Yalkun,"7/23/23, 1:25 AM",1.5
Yalkun,"7/22/23, 8:50 PM",3
Yalkun,"7/22/23, 5:40 PM",1
Yalkun,"7/22/23, 2:55 PM",3
Yalkun,"7/22/23, 12:00 PM",3
Yalkun,"7/22/23, 10:10 AM",3
Yalkun,"7/22/23, 6:40 AM",1.5
Yalkun,"7/22/23, 5:50 AM",2
Yalkun,"7/22/23, 4:00 AM",2.8
Yalkun,"7/22/23, 1:00 AM",3
Yalkun,"7/21/23, 10:24 PM",3
Yalkun,"7/21/23, 6:27 PM",3
Yalkun,"7/21/23, 3:02 PM",3
Yalkun,"7/21/23, 1:22 PM",2.8
Yalkun,"7/21/23, 10:30 AM",3
Yalkun,"7/21/23, 7:10 AM",3
Yalkun,"7/21/23, 4:30 AM",3.2
Yalkun,"7/21/23, 1:20 AM",2
Yalkun,"7/20/23, 9:38 PM",2.9
Yalkun,"7/20/23, 7:40 PM",2.8
Yalkun,"7/20/23, 5:30 PM",2.8
Yalkun,"7/20/23, 2:25 PM",2.5
Yalkun,"7/20/23, 12:00 PM",3.2
Yalkun,"7/19/23, 2:40 PM",2.2
Yalkun,"7/19/23, 12:03 PM",2
Yalkun,"7/19/23, 9:40 AM",3
Yalkun,"7/19/23, 6:13 AM",3
Yalkun,"7/19/23, 3:20 AM",2.5
Yalkun,"7/19/23, 12:30 AM",2
Yalkun,"7/18/23, 7:20 PM",3.2
Yalkun,"7/18/23, 4:16 PM",2.9
Yalkun,"7/18/23, 1:15 PM",2.5
Yalkun,"7/18/23, 10:20 AM",3.1
Yalkun,"7/18/23, 4:30 AM",3
Yalkun,"7/18/23, 2:03 AM",3
Yalkun,"7/17/23, 10:55 PM",3.1
Yalkun,"7/17/23, 8:00 PM",3.1
Yalkun,"7/17/23, 4:05 PM",3
Yalkun,"7/17/23, 1:10 PM",4
Yalkun,"7/17/23, 10:45 AM",1.9
Yalkun,"7/17/23, 9:00 AM",1.4
Yalkun,"7/17/23, 5:00 AM",2.6
Yalkun,"7/16/23, 10:00 PM",2.4
Yalkun,"7/16/23, 7:00 PM",2.8
Yalkun,"7/16/23, 4:45 PM",2.4
Yalkun,"7/16/23, 2:12 PM",3.2
Yalkun,"7/16/23, 8:50 AM",3.4
Yalkun,"7/16/23, 6:15 AM",2.8
Yalkun,"7/15/23, 11:35 PM",2.5
Yalkun,"7/15/23, 8:31 PM",2.5
Yalkun,"7/15/23, 6:10 PM",2
Yalkun,"7/15/23, 4:00 PM",3
Yalkun,"7/15/23, 2:00 PM",2.5
Yalkun,"7/15/23, 11:00 AM",3.1
Yalkun,"7/15/23, 7:45 AM",1
Yalkun,"7/15/23, 6:20 AM",1.5
Yalkun,"7/15/23, 5:00 AM",2.5
Yalkun,"7/15/23, 2:30 AM",2.8
Yalkun,"7/14/23, 11:35 PM",3.1
Yalkun,"7/14/23, 6:45 PM",2.1
Yalkun,"7/14/23, 3:45 PM",2.9
Yalkun,"7/14/23, 12:30 PM",2.8
Yalkun,"7/14/23, 2:30 AM",3.1
Yalkun,"7/14/23, 12:05 AM",2.1
Yalkun,"7/13/23, 9:40 PM",2.6
Yalkun,"7/13/23, 6:40 PM",3.2
Yalkun,"7/13/23, 2:35 PM",2.3
Yalkun,"7/13/23, 12:10 PM",2
Yalkun,"7/13/23, 8:55 AM",3
Yalkun,"7/13/23, 2:50 AM",0.5
Yalkun,"7/12/23, 11:30 PM",2.7
Yalkun,"7/12/23, 7:20 PM",3.3
Yalkun,"7/12/23, 4:45 PM",0.8
Yalkun,"7/12/23, 3:15 PM",2.7,Check amount 
Yalkun,"7/12/23, 12:30 PM",2.3
Yalkun,"7/12/23, 8:05 AM",2.3
Yalkun,"7/12/23, 5:37 AM",1.8
Yalkun,"7/11/23, 11:47 PM",3.1
Yalkun,"7/11/23, 8:40 PM",1
Yalkun,"7/11/23, 5:40 PM",1.5
Yalkun,"7/11/23, 3:44 PM",2
Yalkun,"7/11/23, 12:30 PM",2.8
Yalkun,"7/11/23, 10:00 AM",2.5
Yalkun,"7/11/23, 8:00 AM",2.7
Yalkun,"7/10/23, 11:50 PM",3
Yalkun,"7/10/23, 9:25 PM",0.2
Yalkun,"7/10/23, 8:45 PM",3
Yalkun,"7/10/23, 2:40 PM",2
Yalkun,"7/10/23, 12:25 PM",1
Yalkun,"7/10/23, 10:05 AM",1.2
Yalkun,"7/10/23, 8:30 AM",1.9
Yalkun,"7/10/23, 8:10 AM",1
Yalkun,"7/10/23, 3:05 AM",1.8
Yalkun,"7/10/23, 12:30 AM",2.5
Yalkun,"7/9/23, 8:30 PM",2.8
Yalkun,"7/9/23, 5:00 PM",3.8
Yalkun,"7/9/23, 11:15 AM",2.1
Yalkun,"7/9/23, 9:10 AM",1.1
Yalkun,"7/9/23, 6:00 AM",1.1
Yalkun,"7/9/23, 2:55 AM",0.5
Yalkun,"7/9/23, 12:10 AM",1.3
Yalkun,"7/8/23, 9:15 PM",2
Yalkun,"7/8/23, 7:30 PM",1
Yalkun,"7/8/23, 6:18 PM",0.6
Yalkun,"7/8/23, 3:55 PM",1.8
Yalkun,"7/8/23, 2:20 PM",1
Yalkun,"7/8/23, 1:35 PM",2
Yalkun,"7/8/23, 9:10 AM",0.5
Yalkun,"7/8/23, 7:45 AM",2
Yalkun,"7/8/23, 6:35 AM",0.4
Yalkun,"7/8/23, 5:40 AM",1
Yalkun,"7/8/23, 3:05 AM",0.3
Yalkun,"7/8/23, 2:10 AM",0.5
Yalkun,"7/7/23, 10:25 PM",2
Yalkun,"7/7/23, 8:50 PM",0.3
Yalkun,"7/7/23, 7:40 PM",1.5
Yalkun,"7/7/23, 5:40 PM",0.5
Yalkun,"7/7/23, 5:00 PM",2.5
Yalkun,"7/7/23, 1:19 PM",2.2
Yalkun,"7/7/23, 9:00 AM",1.2
Yalkun,"7/7/23, 7:30 AM",1.2
Yalkun,"7/7/23, 4:01 AM",1
Yalkun,"7/7/23, 1:45 AM",1
Yalkun,"7/6/23, 10:25 PM",1.4
Yalkun,"7/6/23, 5:55 PM",2.2
Yalkun,"7/6/23, 3:15 PM",0.2
Yalkun,"7/6/23, 1:15 PM",1
Yalkun,"7/6/23, 10:30 AM",2.9
Yalkun,"7/6/23, 8:20 AM",1
Yalkun,"7/6/23, 4:40 AM",1.6
Yalkun,"7/6/23, 12:15 AM",1.5
Yalkun,"7/5/23, 7:45 PM",1.5
Yalkun,"7/5/23, 5:15 PM",2.8
